globaltag = DES19_62_V8::All
HcalTopologyIdealEP::HcalTopologyIdealEP
======================== Opening output file
Begin processing the 1st record. Run 1, Event 1, LumiSection 1 at 18-Feb-2014 20:02:57.056 CET
RPCGeometryESModule :: produce
RPCGeometryESModule :: produce :: 1/4 Get Muon Ideal Geometry Record
%MSG-e Specific:  RPCTiming:timing 18-Feb-2014 20:02:59 CET Run: 1 Event: 1
Could not process q-name of a DDLogicalPart, reason:
No regex-match for namespace=  name=HFFibre.*

SpecPar selection is:
//HFFibre.*

%MSG
RPCGeometryESModule :: produce :: 2/4 Get Muon DDD Constants
RPCGeometryESModule :: produce :: 3/4 Get Muon Numbering Record
in MuonNumberingInitialization::initializeMuonDDDConstants
about to make my new muonDDDConst_
in MuonNumberingInitialization::produce
RPCGeometryESModule :: produce :: 4/4 Build
RPCDetId: 637635853 W-2_RB1out_S11_Forward R: 449.894 cm | striplength: 125.2 cm | stripwidth: 2.45238 cm
RPCDetId: 637568397 W-2_RB1in_S12_Backward R: 415.38 cm | striplength: 116.9 cm | stripwidth: 2.28889 cm
RPCDetId: 637633933 W-2_RB1in_S12_Forward R: 415.38 cm | striplength: 125.2 cm | stripwidth: 2.28889 cm
RPCDetId: 637570445 W-2_RB1out_S12_Backward R: 449.894 cm | striplength: 116.9 cm | stripwidth: 2.45238 cm
RPCDetId: 637635981 W-2_RB1out_S12_Forward R: 449.894 cm | striplength: 125.2 cm | stripwidth: 2.45238 cm
RPCDetId: 637567021 W-2_RB2in_S01_Backward R: 495.302 cm | striplength: 116.9 cm | stripwidth: 2.75556 cm
RPCDetId: 637632557 W-2_RB2in_S01_Forward R: 495.302 cm | striplength: 125.2 cm | stripwidth: 2.75556 cm
RPCDetId: 637569069 W-2_RB2out_S01_Backward R: 530.305 cm | striplength: 76.9 cm | stripwidth: 2.95238 cm
RPCDetId: 637601837 W-2_RB2out_S01_Middle R: 530.305 cm | striplength: 79.4 cm | stripwidth: 2.95238 cm
RPCDetId: 637634605 W-2_RB2out_S01_Forward R: 530.305 cm | striplength: 85.2 cm | stripwidth: 2.95238 cm
RPCDetId: 637567149 W-2_RB2in_S02_Backward R: 495.302 cm | striplength: 116.9 cm | stripwidth: 2.75556 cm
RPCDetId: 637632685 W-2_RB2in_S02_Forward R: 495.302 cm | striplength: 125.2 cm | stripwidth: 2.75556 cm
RPCDetId: 637569197 W-2_RB2out_S02_Backward R: 530.305 cm | striplength: 76.9 cm | stripwidth: 2.95238 cm
RPCDetId: 637601965 W-2_RB2out_S02_Middle R: 530.305 cm | striplength: 79.4 cm | stripwidth: 2.95238 cm
RPCDetId: 637634733 W-2_RB2out_S02_Forward R: 530.305 cm | striplength: 85.2 cm | stripwidth: 2.95238 cm
RPCDetId: 637567277 W-2_RB2in_S03_Backward R: 495.302 cm | striplength: 116.9 cm | stripwidth: 2.75556 cm
RPCDetId: 637632813 W-2_RB2in_S03_Forward R: 495.302 cm | striplength: 125.2 cm | stripwidth: 2.75556 cm
RPCDetId: 637569325 W-2_RB2out_S03_Backward R: 530.305 cm | striplength: 76.9 cm | stripwidth: 2.95238 cm
RPCDetId: 637602093 W-2_RB2out_S03_Middle R: 530.305 cm | striplength: 79.4 cm | stripwidth: 2.95238 cm
RPCDetId: 637634861 W-2_RB2out_S03_Forward R: 530.305 cm | striplength: 85.2 cm | stripwidth: 2.95238 cm
RPCDetId: 637567405 W-2_RB2in_S04_Backward R: 495.302 cm | striplength: 116.9 cm | stripwidth: 2.75556 cm
RPCDetId: 637632941 W-2_RB2in_S04_Forward R: 495.302 cm | striplength: 125.2 cm | stripwidth: 2.75556 cm
RPCDetId: 637569453 W-2_RB2out_S04_Backward R: 530.305 cm | striplength: 76.9 cm | stripwidth: 2.95238 cm
RPCDetId: 637602221 W-2_RB2out_S04_Middle R: 530.305 cm | striplength: 79.4 cm | stripwidth: 2.95238 cm
RPCDetId: 637634989 W-2_RB2out_S04_Forward R: 530.305 cm | striplength: 85.2 cm | stripwidth: 2.95238 cm
RPCDetId: 637567533 W-2_RB2in_S05_Backward R: 495.302 cm | striplength: 116.9 cm | stripwidth: 2.75556 cm
RPCDetId: 637633069 W-2_RB2in_S05_Forward R: 495.302 cm | striplength: 125.2 cm | stripwidth: 2.75556 cm
RPCDetId: 637569581 W-2_RB2out_S05_Backward R: 530.305 cm | striplength: 76.9 cm | stripwidth: 2.95238 cm
RPCDetId: 637602349 W-2_RB2out_S05_Middle R: 530.305 cm | striplength: 79.4 cm | stripwidth: 2.95238 cm
